Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
300,3,178.00,0.00,1,0.121806,2,0,1
301,3,188.00,0.00,1,0.121441,1,0,2
302,6,175.00,0.00,1,0.121076,2,1,3
303,2,189.00,0.00,1,0.120713,1,0,4
304,1,200.00,0.00,1,0.120351,0,0,6
305,0,0.00,0.00,1,0.119990,0,0,8
306,3,178.00,0.00,1,0.119630,2,0,1
307,3,188.00,0.00,1,0.119271,1,0,2
308,5,166.00,0.00,1,0.118913,3,0,3
309,3,188.00,0.00,1,0.118556,1,1,4
310,1,200.00,0.00,1,0.118201,0,0,6
311,0,0.00,0.00,1,0.117846,0,0,8
312,3,178.00,0.00,1,0.117493,2,0,1
313,3,188.00,0.00,1,0.117140,1,0,2
314,3,188.00,0.00,1,0.116789,1,0,3
315,2,189.00,0.00,1,0.116438,1,0,4
316,1,200.00,0.00,1,0.116089,0,0,6
317,0,0.00,0.00,1,0.115741,0,0,8
318,4,167.00,0.00,1,0.115394,3,1,1
319,3,188.00,0.00,1,0.115047,1,0,2
320,4,182.00,0.00,1,0.114702,1,1,3
321,4,177.00,0.00,1,0.114358,2,1,4
322,2,199.00,0.00,1,0.114015,0,0,6
323,0,0.00,0.00,1,0.113673,0,0,8
324,4,177.00,0.00,1,0.113332,2,1,1
325,4,177.00,0.00,1,0.112992,2,1,2
326,3,188.00,0.00,1,0.112653,1,0,3
327,2,189.00,0.00,1,0.112315,1,0,4
328,2,199.00,0.00,1,0.111978,0,1,6
329,0,0.00,0.00,1,0.111642,0,0,8
330,3,178.00,0.00,1,0.111307,2,0,1
331,3,188.00,0.00,1,0.110973,1,0,2
332,3,188.00,0.00,1,0.110640,1,0,3
333,2,189.00,0.00,1,0.110308,1,0,4
334,1,200.00,0.00,1,0.109978,0,0,6
335,0,0.00,0.00,1,0.109648,0,0,8
336,3,178.00,0.00,1,0.109319,2,0,1
337,3,188.00,0.00,1,0.108991,1,0,2
338,3,188.00,0.00,1,0.108664,1,0,3
339,2,189.00,0.00,1,0.108338,1,0,4
340,1,200.00,0.00,1,0.108013,0,0,6
341,0,0.00,0.00,1,0.107689,0,0,8
342,3,178.00,0.00,1,0.107366,2,0,1
343,3,188.00,0.00,1,0.107044,1,0,2
344,2,189.00,0.00,1,0.106722,1,0,3
345,3,188.00,0.00,1,0.106402,1,1,4
346,1,200.00,0.00,1,0.106083,0,0,6
347,0,0.00,0.00,1,0.105765,0,0,8
348,3,178.00,0.00,1,0.105448,2,0,1
349,3,188.00,0.00,1,0.105131,1,0,2
350,4,187.00,0.00,1,0.104816,1,1,3
351,2,189.00,0.00,1,0.104501,1,0,4
352,1,200.00,0.00,1,0.104188,0,0,6
353,0,0.00,0.00,1,0.103875,0,0,8
354,3,178.00,0.00,1,0.103564,2,0,1
355,3,188.00,0.00,1,0.103253,1,0,2
356,3,188.00,0.00,1,0.102943,1,0,3
357,3,188.00,0.00,1,0.102634,1,0,4
358,1,200.00,0.00,1,0.102326,0,0,6
359,0,0.00,0.00,1,0.102019,0,0,8
360,3,178.00,0.00,1,0.101713,2,0,1
361,3,188.00,0.00,1,0.101408,1,0,2
362,3,188.00,0.00,1,0.101104,1,0,3
363,3,188.00,0.00,1,0.100801,1,0,4
364,1,200.00,0.00,1,0.100498,0,0,6
365,0,0.00,0.00,1,0.100197,0,0,8
366,3,178.00,0.00,1,0.099896,2,0,1
