StateIndex,SetAwning=OFF,SetAwning=ON,SetStrongLamp=OFF,SetStrongLamp=ON,SetWeakLamp=OFF,SetWeakLamp=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,DO_NOTHING
176,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,-50.00,0.00
177,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
178,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
179,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
180,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,-50.00,0.00
181,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
182,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
183,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
184,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
185,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
186,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
187,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
188,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
189,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
190,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
191,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
192,-50.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00
193,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
194,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
195,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
196,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00
197,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
198,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
199,0.00,-50.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00
200,-50.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
201,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
202,-50.00,0.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
203,-19.03,200.00,-34.38,-1.10,-34.38,2.06,-2.79,-50.00,30.26
204,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
205,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
206,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
207,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00
208,-50.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,-50.00,0.00
209,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
210,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
211,-50.00,0.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
212,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,-50.00,0.00
213,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
214,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
215,0.00,-50.00,-50.00,0.00,0.00,-50.00,-50.00,0.00,0.00
216,-50.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
217,-50.00,0.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
218,-50.00,0.00,-50.00,0.00,0.00,-50.00,20.00,-50.00,0.00
219,-46.10,54.20,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
220,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
221,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
222,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
223,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00,-50.00,0.00
224,-14.25,-21.74,32.37,-32.64,7.12,169.00,-46.29,-32.75,-2.36
225,-42.59,-1.70,-3.18,-50.00,-50.00,169.00,-50.00,1.45,3.72
226,-46.10,0.00,13.90,-50.00,-50.00,-1.10,-50.00,-1.10,-0.60
227,-50.00,-1.10,0.00,-50.00,-50.00,0.00,-50.00,0.00,-0.60
228,72.91,-50.00,-2.53,-46.15,-50.00,-1.10,-50.00,-50.00,-1.19
229,8.73,-50.00,-2.75,-50.00,-50.00,-1.10,-50.00,-1.10,-0.60
230,0.00,-50.00,0.00,-50.00,-50.00,0.00,-50.00,0.00,0.00
231,0.00,-50.00,-2.75,-50.00,-50.00,0.00,-50.00,0.00,0.00
232,-46.10,-50.00,-2.75,-46.10,-50.00,19.78,0.00,-50.00,0.00
233,-46.10,0.00,63.51,-50.00,-50.00,1.71,0.00,-40.38,0.74
234,-50.00,-1.60,200.00,-50.00,-50.00,-2.09,-2.09,-44.30,0.00
235,-50.00,0.00,0.00,-50.00,-50.00,-1.10,-1.10,-50.00,0.00
236,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
237,3.49,-46.10,-2.53,-50.00,-46.10,-1.10,-2.98,-50.00,-1.19
238,0.00,-50.00,31.01,-50.00,-50.00,-1.10,0.00,-50.00,0.00
239,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00,-50.00,0.00
240,-13.88,-46.10,200.00,1.61,17.93,-5.23,-28.10,-0.20,32.90
241,-2.63,0.00,200.00,-28.15,14.11,-32.22,-33.75,-0.65,31.46
242,-50.00,0.00,0.00,-50.00,-1.10,-50.00,-50.00,-1.10,0.00
243,-50.00,0.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
244,16.90,-50.00,0.00,-50.00,-1.10,-50.00,-50.00,-50.00,0.00
245,0.00,-50.00,38.00,-50.00,0.00,-50.00,-50.00,0.00,-0.60
246,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
247,0.00,-50.00,0.00,-50.00,0.00,-50.00,-50.00,0.00,0.00
248,-50.00,-50.00,130.26,-50.00,0.00,-44.30,0.00,-50.00,0.00
249,-50.00,-1.10,0.00,-50.00,0.00,-50.00,44.99,-50.00,0.00
250,-50.00,-1.10,-1.10,-50.00,16.90,-50.00,-1.10,-50.00,-1.14
251,-50.00,0.00,0.00,-50.00,-1.10,-50.00,0.00,-50.00,0.00
252,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
253,-1.10,-50.00,0.00,-50.00,0.00,-50.00,0.70,-50.00,-0.60
254,-1.10,-50.00,0.00,-50.00,-1.10,-50.00,0.00,-50.00,0.00
255,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00,-50.00,0.00
