Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
267,2,189.00,0.00,1,0.134502,1,0,4
268,3,188.00,0.00,1,0.134098,1,2,6
269,0,0.00,0.00,1,0.133696,0,0,8
270,3,178.00,0.00,1,0.133295,2,0,1
271,2,189.00,0.00,1,0.132895,1,0,2
272,3,188.00,0.00,1,0.132496,1,0,3
273,2,189.00,0.00,1,0.132099,1,0,4
274,1,200.00,0.00,1,0.131703,0,0,6
275,0,0.00,0.00,1,0.131308,0,0,8
276,4,177.00,0.00,1,0.130914,2,1,1
277,2,189.00,0.00,1,0.130521,1,0,2
278,2,189.00,0.00,1,0.130129,1,0,3
279,2,189.00,0.00,1,0.129739,1,0,4
280,1,200.00,0.00,1,0.129350,0,0,6
281,0,0.00,0.00,1,0.128962,0,0,8
282,3,178.00,0.00,1,0.128575,2,0,1
283,3,178.00,0.00,1,0.128189,2,1,2
284,2,189.00,0.00,1,0.127805,1,0,3
285,2,189.00,0.00,1,0.127421,1,0,4
286,1,200.00,0.00,1,0.127039,0,0,6
287,0,0.00,0.00,1,0.126658,0,0,8
288,3,178.00,0.00,1,0.126278,2,0,1
289,2,189.00,0.00,1,0.125899,1,0,2
290,3,183.00,0.00,1,0.125521,1,1,3
291,2,189.00,0.00,1,0.125145,1,0,4
292,1,200.00,0.00,1,0.124769,0,0,6
293,0,0.00,0.00,1,0.124395,0,0,8
294,6,150.00,0.00,1,0.124022,4,1,1
295,2,189.00,0.00,1,0.123650,1,0,2
296,2,189.00,0.00,1,0.123279,1,0,3
297,2,189.00,0.00,1,0.122909,1,0,4
298,1,200.00,0.00,1,0.122540,0,0,6
299,0,0.00,0.00,1,0.122173,0,0,8
300,3,178.00,0.00,1,0.121806,2,0,1
301,2,189.00,0.00,1,0.121441,1,0,2
302,2,189.00,0.00,1,0.121076,1,0,3
303,2,189.00,0.00,1,0.120713,1,0,4
304,1,200.00,0.00,1,0.120351,0,0,6
305,0,0.00,0.00,1,0.119990,0,0,8
306,3,178.00,0.00,1,0.119630,2,0,1
307,2,189.00,0.00,1,0.119271,1,0,2
308,2,189.00,0.00,1,0.118913,1,0,3
309,2,189.00,0.00,1,0.118556,1,0,4
310,1,200.00,0.00,1,0.118201,0,0,6
311,0,0.00,0.00,1,0.117846,0,0,8
312,3,178.00,0.00,1,0.117493,2,0,1
313,3,188.00,0.00,1,0.117140,1,0,2
314,3,183.00,0.00,1,0.116789,1,1,3
315,2,189.00,0.00,1,0.116438,1,0,4
316,1,200.00,0.00,1,0.116089,0,0,6
317,0,0.00,0.00,1,0.115741,0,0,8
318,3,178.00,0.00,1,0.115394,2,0,1
319,2,189.00,0.00,1,0.115047,1,0,2
320,2,189.00,0.00,1,0.114702,1,0,3
321,3,178.00,0.00,1,0.114358,2,1,4
322,1,200.00,0.00,1,0.114015,0,0,6
323,0,0.00,0.00,1,0.113673,0,0,8
324,3,178.00,0.00,1,0.113332,2,0,1
325,2,189.00,0.00,1,0.112992,1,0,2
326,2,189.00,0.00,1,0.112653,1,0,3
327,2,189.00,0.00,1,0.112315,1,0,4
328,1,200.00,0.00,1,0.111978,0,0,6
329,0,0.00,0.00,1,0.111642,0,0,8
330,3,178.00,0.00,1,0.111307,2,0,1
331,3,188.00,0.00,1,0.110973,1,1,2
332,3,188.00,0.00,1,0.110640,1,1,3
333,2,189.00,0.00,1,0.110308,1,0,4
334,1,200.00,0.00,1,0.109978,0,0,6
335,0,0.00,0.00,1,0.109648,0,0,8
336,3,178.00,0.00,1,0.109319,2,0,1
337,2,189.00,0.00,1,0.108991,1,0,2
338,2,189.00,0.00,1,0.108664,1,0,3
339,3,188.00,0.00,1,0.108338,1,0,4
340,1,200.00,0.00,1,0.108013,0,0,6
341,0,0.00,0.00,1,0.107689,0,0,8
342,3,178.00,0.00,1,0.107366,2,0,1
343,2,189.00,0.00,1,0.107044,1,0,2
344,2,189.00,0.00,1,0.106722,1,0,3
345,3,188.00,0.00,1,0.106402,1,1,4
346,1,200.00,0.00,1,0.106083,0,0,6
347,0,0.00,0.00,1,0.105765,0,0,8
348,3,178.00,0.00,1,0.105448,2,0,1
349,2,189.00,0.00,1,0.105131,1,0,2
350,2,189.00,0.00,1,0.104816,1,0,3
351,2,189.00,0.00,1,0.104501,1,0,4
352,1,200.00,0.00,1,0.104188,0,0,6
353,0,0.00,0.00,1,0.103875,0,0,8
354,3,178.00,0.00,1,0.103564,2,0,1
355,2,189.00,0.00,1,0.103253,1,0,2
356,2,189.00,0.00,1,0.102943,1,0,3
357,2,189.00,0.00,1,0.102634,1,0,4
358,1,200.00,0.00,1,0.102326,0,0,6
359,0,0.00,0.00,1,0.102019,0,0,8
360,3,178.00,0.00,1,0.101713,2,0,1
361,2,189.00,0.00,1,0.101408,1,0,2
362,2,189.00,0.00,1,0.101104,1,0,3
363,2,189.00,0.00,1,0.100801,1,0,4
364,1,200.00,0.00,1,0.100498,0,0,6
365,0,0.00,0.00,1,0.100197,0,0,8
366,4,177.00,0.00,1,0.099896,2,0,1
367,2,189.00,0.00,1,0.099597,1,0,2
368,3,188.00,0.00,1,0.099298,1,1,3
369,3,178.00,0.00,1,0.099000,2,1,4
370,1,200.00,0.00,1,0.098703,0,0,6
371,0,0.00,0.00,1,0.098407,0,0,8
372,3,178.00,0.00,1,0.098112,2,0,1
373,2,189.00,0.00,1,0.097817,1,0,2
374,2,189.00,0.00,1,0.097524,1,0,3
375,2,189.00,0.00,1,0.097231,1,0,4
376,1,200.00,0.00,1,0.096940,0,0,6
377,0,0.00,0.00,1,0.096649,0,0,8
378,4,172.00,0.00,1,0.096359,2,1,1
379,2,189.00,0.00,1,0.096070,1,0,2
380,2,189.00,0.00,1,0.095781,1,0,3
381,3,183.00,0.00,1,0.095494,1,1,4
382,1,200.00,0.00,1,0.095208,0,0,6
383,0,0.00,0.00,1,0.094922,0,0,8
384,3,178.00,0.00,1,0.094637,2,0,1
385,2,189.00,0.00,1,0.094353,1,0,2
386,3,178.00,0.00,1,0.094070,2,1,3
387,2,189.00,0.00,1,0.093788,1,0,4
388,1,200.00,0.00,1,0.093507,0,0,6
389,0,0.00,0.00,1,0.093226,0,0,8
390,3,178.00,0.00,1,0.092946,2,0,1
391,2,189.00,0.00,1,0.092668,1,0,2
