Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
314,0,0.00,0.00,1,0.116789,0,0,8
315,1,200.00,0.00,1,0.116438,0,0,9
316,1,200.00,0.00,1,0.116089,0,0,10
317,1,200.00,0.00,1,0.115741,0,0,12
318,1,200.00,0.00,1,0.115394,0,0,13
319,0,0.00,0.00,1,0.115047,0,0,15
320,3,228.00,0.00,1,0.114702,1,0,1
321,2,189.00,0.00,1,0.114358,1,0,2
322,1,200.00,0.00,1,0.114015,0,0,5
323,2,189.00,0.00,1,0.113673,1,0,6
324,0,0.00,0.00,1,0.113332,0,0,8
325,1,200.00,0.00,1,0.112992,0,0,9
326,1,200.00,0.00,1,0.112653,0,0,10
327,1,200.00,0.00,1,0.112315,0,0,12
328,1,200.00,0.00,1,0.111978,0,0,13
329,0,0.00,0.00,1,0.111642,0,0,15
330,4,217.00,0.00,1,0.111307,2,1,1
331,2,189.00,0.00,1,0.110973,1,0,2
332,1,200.00,0.00,1,0.110640,0,0,5
333,2,189.00,0.00,1,0.110308,1,0,6
334,0,0.00,0.00,1,0.109978,0,0,8
335,1,200.00,0.00,1,0.109648,0,0,9
336,1,200.00,0.00,1,0.109319,0,0,10
337,1,200.00,0.00,1,0.108991,0,0,12
338,1,200.00,0.00,1,0.108664,0,0,13
339,0,0.00,0.00,1,0.108338,0,0,15
340,4,222.00,0.00,1,0.108013,1,1,1
341,5,161.00,0.00,1,0.107689,3,1,2
342,1,200.00,0.00,1,0.107366,0,0,5
343,2,189.00,0.00,1,0.107044,1,0,6
344,0,0.00,0.00,1,0.106722,0,0,8
345,1,200.00,0.00,1,0.106402,0,0,9
346,1,200.00,0.00,1,0.106083,0,0,10
347,1,200.00,0.00,1,0.105765,0,0,12
348,1,200.00,0.00,1,0.105448,0,0,13
349,0,0.00,0.00,1,0.105131,0,0,15
350,3,228.00,0.00,1,0.104816,1,0,1
351,2,189.00,0.00,1,0.104501,1,0,2
352,1,200.00,0.00,1,0.104188,0,0,5
353,2,189.00,0.00,1,0.103875,1,0,6
354,0,0.00,0.00,1,0.103564,0,0,8
355,1,200.00,0.00,1,0.103253,0,0,9
356,1,200.00,0.00,1,0.102943,0,0,10
357,2,189.00,0.00,1,0.102634,1,1,12
358,1,200.00,0.00,1,0.102326,0,0,13
359,0,0.00,0.00,1,0.102019,0,0,15
360,3,228.00,0.00,1,0.101713,1,0,1
361,2,189.00,0.00,1,0.101408,1,0,2
362,1,200.00,0.00,1,0.101104,0,0,5
363,5,126.00,0.00,1,0.100801,4,2,6
364,0,0.00,0.00,1,0.100498,0,0,8
365,1,200.00,0.00,1,0.100197,0,0,9
366,1,200.00,0.00,1,0.099896,0,0,10
367,1,200.00,0.00,1,0.099597,0,0,12
368,1,200.00,0.00,1,0.099298,0,0,13
369,0,0.00,0.00,1,0.099000,0,0,15
370,3,228.00,0.00,1,0.098703,1,0,1
371,2,189.00,0.00,1,0.098407,1,0,2
372,1,200.00,0.00,1,0.098112,0,0,5
373,2,189.00,0.00,1,0.097817,1,0,6
374,0,0.00,0.00,1,0.097524,0,0,8
375,1,200.00,0.00,1,0.097231,0,0,9
376,1,200.00,0.00,1,0.096940,0,0,10
377,1,200.00,0.00,1,0.096649,0,0,12
378,1,200.00,0.00,1,0.096359,0,0,13
379,0,0.00,0.00,1,0.096070,0,0,15
380,3,228.00,0.00,1,0.095781,1,0,1
381,4,167.00,0.00,1,0.095494,3,0,2
382,2,189.00,0.00,1,0.095208,1,1,5
383,2,189.00,0.00,1,0.094922,1,0,6
384,0,0.00,0.00,1,0.094637,0,0,8
385,1,200.00,0.00,1,0.094353,0,0,9
386,1,200.00,0.00,1,0.094070,0,0,10
387,1,200.00,0.00,1,0.093788,0,0,12
388,1,200.00,0.00,1,0.093507,0,0,13
389,0,0.00,0.00,1,0.093226,0,0,15
390,4,222.00,0.00,1,0.092946,1,1,1
391,4,187.00,0.00,1,0.092668,2,0,2
392,1,200.00,0.00,1,0.092390,0,0,5
393,2,189.00,0.00,1,0.092112,1,0,6
394,0,0.00,0.00,1,0.091836,0,0,8
395,1,200.00,0.00,1,0.091561,0,0,9
396,1,200.00,0.00,1,0.091286,0,0,10
397,1,200.00,0.00,1,0.091012,0,0,12
398,3,198.00,0.00,1,0.090739,1,0,13
399,0,0.00,0.00,1,0.090467,0,0,15
400,3,228.00,0.00,1,0.090195,1,0,1
401,2,189.00,0.00,1,0.089925,1,0,2
402,1,200.00,0.00,1,0.089655,0,0,5
403,3,178.00,0.00,1,0.089386,2,0,6
404,0,0.00,0.00,1,0.089118,0,0,8
405,1,200.00,0.00,1,0.088851,0,0,9
406,1,200.00,0.00,1,0.088584,0,0,10
407,1,200.00,0.00,1,0.088318,0,0,12
408,1,200.00,0.00,1,0.088053,0,0,13
409,0,0.00,0.00,1,0.087789,0,0,15
410,3,228.00,0.00,1,0.087526,1,0,1
411,2,189.00,0.00,1,0.087263,1,0,2
412,1,200.00,0.00,1,0.087001,0,0,5
413,2,189.00,0.00,1,0.086740,1,0,6
414,0,0.00,0.00,1,0.086480,0,0,8
415,1,200.00,0.00,1,0.086221,0,0,9
416,1,200.00,0.00,1,0.085962,0,0,10
417,1,200.00,0.00,1,0.085704,0,0,12
418,1,200.00,0.00,1,0.085447,0,0,13
419,0,0.00,0.00,1,0.085191,0,0,15
420,3,228.00,0.00,1,0.084935,1,0,1
421,2,189.00,0.00,1,0.084680,1,0,2
422,1,200.00,0.00,1,0.084426,0,0,5
423,2,189.00,0.00,1,0.084173,1,0,6
424,0,0.00,0.00,1,0.083921,0,0,8
425,1,200.00,0.00,1,0.083669,0,0,9
426,1,200.00,0.00,1,0.083418,0,0,10
427,1,200.00,0.00,1,0.083168,0,0,12
428,1,200.00,0.00,1,0.082918,0,0,13
429,0,0.00,0.00,1,0.082669,0,0,15
430,4,217.00,0.00,1,0.082421,2,0,1
431,2,189.00,0.00,1,0.082174,1,0,2
432,1,200.00,0.00,1,0.081927,0,0,5
433,2,189.00,0.00,1,0.081682,1,0,6
434,0,0.00,0.00,1,0.081437,0,0,8
435,1,200.00,0.00,1,0.081192,0,0,9
436,1,200.00,0.00,1,0.080949,0,0,10
437,1,200.00,0.00,1,0.080706,0,0,12
438,1,200.00,0.00,1,0.080464,0,0,13
439,0,0.00,0.00,1,0.080222,0,0,15
440,3,228.00,0.00,1,0.079982,1,0,1
441,4,167.00,0.00,1,0.079742,3,0,2
442,1,200.00,0.00,1,0.079503,0,0,5
443,2,189.00,0.00,1,0.079264,1,0,6
444,0,0.00,0.00,1,0.079026,0,0,8
445,1,200.00,0.00,1,0.078789,0,0,9
446,1,200.00,0.00,1,0.078553,0,0,10
447,1,200.00,0.00,1,0.078317,0,0,12
448,1,200.00,0.00,1,0.078082,0,0,13
449,0,0.00,0.00,1,0.077848,0,0,15
450,3,228.00,0.00,1,0.077614,1,0,1
451,2,189.00,0.00,1,0.077382,1,0,2
452,1,200.00,0.00,1,0.077149,0,0,5
453,2,189.00,0.00,1,0.076918,1,0,6
454,0,0.00,0.00,1,0.076687,0,0,8
455,2,189.00,0.00,1,0.076457,1,1,9
456,1,200.00,0.00,1,0.076228,0,0,10
457,1,200.00,0.00,1,0.075999,0,0,12
458,1,200.00,0.00,1,0.075771,0,0,13
459,0,0.00,0.00,1,0.075544,0,0,15
460,3,228.00,0.00,1,0.075317,1,0,1
461,2,189.00,0.00,1,0.075091,1,0,2
462,3,198.00,0.00,1,0.074866,0,0,5
463,2,189.00,0.00,1,0.074641,1,0,6
464,0,0.00,0.00,1,0.074417,0,0,8
465,1,200.00,0.00,1,0.074194,0,0,9
466,1,200.00,0.00,1,0.073972,0,0,10
467,1,200.00,0.00,1,0.073750,0,0,12
468,1,200.00,0.00,1,0.073528,0,0,13
469,0,0.00,0.00,1,0.073308,0,0,15
470,3,228.00,0.00,1,0.073088,1,0,1
471,2,189.00,0.00,1,0.072869,1,0,2
472,1,200.00,0.00,1,0.072650,0,0,5
473,2,189.00,0.00,1,0.072432,1,0,6
474,0,0.00,0.00,1,0.072215,0,0,8
475,1,200.00,0.00,1,0.071998,0,0,9
476,1,200.00,0.00,1,0.071782,0,0,10
477,1,200.00,0.00,1,0.071567,0,0,12
478,1,200.00,0.00,1,0.071352,0,0,13
479,0,0.00,0.00,1,0.071138,0,0,15
480,3,228.00,0.00,1,0.070925,1,0,1
481,2,189.00,0.00,1,0.070712,1,0,2
482,1,200.00,0.00,1,0.070500,0,0,5
483,2,189.00,0.00,1,0.070288,1,0,6
484,0,0.00,0.00,1,0.070077,0,0,8
485,1,200.00,0.00,1,0.069867,0,0,9
486,1,200.00,0.00,1,0.069658,0,0,10
487,2,194.00,0.00,1,0.069449,0,1,12
488,1,200.00,0.00,1,0.069240,0,0,13
489,0,0.00,0.00,1,0.069033,0,0,15
490,3,228.00,0.00,1,0.068825,1,0,1
491,2,189.00,0.00,1,0.068619,1,0,2
492,1,200.00,0.00,1,0.068413,0,0,5
493,2,189.00,0.00,1,0.068208,1,0,6
494,0,0.00,0.00,1,0.068003,0,0,8
495,1,200.00,0.00,1,0.067799,0,0,9
496,1,200.00,0.00,1,0.067596,0,0,10
497,1,200.00,0.00,1,0.067393,0,0,12
498,1,200.00,0.00,1,0.067191,0,0,13
499,0,0.00,0.00,1,0.066989,0,0,15
500,3,228.00,0.00,1,0.066788,1,0,1
501,4,167.00,0.00,1,0.066588,3,0,2
502,1,200.00,0.00,1,0.066388,0,0,5
503,2,189.00,0.00,1,0.066189,1,0,6
504,0,0.00,0.00,1,0.065990,0,0,8
505,1,200.00,0.00,1,0.065792,0,0,9
506,1,200.00,0.00,1,0.065595,0,0,10
507,1,200.00,0.00,1,0.065398,0,0,12
508,1,200.00,0.00,1,0.065202,0,0,13
509,0,0.00,0.00,1,0.065007,0,0,15
510,3,228.00,0.00,1,0.064811,1,0,1
511,2,189.00,0.00,1,0.064617,1,0,2
512,1,200.00,0.00,1,0.064423,0,0,5
513,2,189.00,0.00,1,0.064230,1,0,6
514,0,0.00,0.00,1,0.064037,0,0,8
515,1,200.00,0.00,1,0.063845,0,0,9
516,1,200.00,0.00,1,0.063654,0,0,10
517,1,200.00,0.00,1,0.063463,0,0,12
518,1,200.00,0.00,1,0.063272,0,0,13
519,0,0.00,0.00,1,0.063082,0,0,15
520,3,228.00,0.00,1,0.062893,1,0,1
521,2,189.00,0.00,1,0.062705,1,0,2
522,1,200.00,0.00,1,0.062516,0,0,5
523,2,189.00,0.00,1,0.062329,1,0,6
524,0,0.00,0.00,1,0.062142,0,0,8
525,1,200.00,0.00,1,0.061955,0,0,9
526,2,189.00,0.00,1,0.061770,1,1,10
527,1,200.00,0.00,1,0.061584,0,0,12
528,1,200.00,0.00,1,0.061400,0,0,13
529,0,0.00,0.00,1,0.061215,0,0,15
530,3,228.00,0.00,1,0.061032,1,0,1
531,2,189.00,0.00,1,0.060849,1,0,2
532,1,200.00,0.00,1,0.060666,0,0,5
533,2,189.00,0.00,1,0.060484,1,0,6
534,0,0.00,0.00,1,0.060303,0,0,8
535,1,200.00,0.00,1,0.060122,0,0,9
536,1,200.00,0.00,1,0.059941,0,0,10
537,1,200.00,0.00,1,0.059761,0,0,12
538,1,200.00,0.00,1,0.059582,0,0,13
539,0,0.00,0.00,1,0.059403,0,0,15
540,3,228.00,0.00,1,0.059225,1,0,1
541,3,178.00,0.00,1,0.059048,2,1,2
542,1,200.00,0.00,1,0.058870,0,0,5
543,2,189.00,0.00,1,0.058694,1,0,6
544,0,0.00,0.00,1,0.058518,0,0,8
545,1,200.00,0.00,1,0.058342,0,0,9
546,1,200.00,0.00,1,0.058167,0,0,10
547,2,189.00,0.00,1,0.057993,1,1,12
548,1,200.00,0.00,1,0.057819,0,0,13
549,0,0.00,0.00,1,0.057645,0,0,15
