StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
3010,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,-0.35,2.57,0.00,0.00,0.00,0.00
3011,-0.35,0.00,-0.35,0.00,-0.35,0.00,21.98,0.00,0.00,0.00,0.00,0.00,-0.10
3024,0.00,0.00,0.00,0.00,0.14,0.28,0.00,0.00,0.37,12.94,0.00,0.00,0.00
3025,0.00,0.00,-0.24,0.00,-0.28,0.00,0.00,-0.35,0.00,6.58,0.00,0.55,0.00
3040,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.80,14.75,0.00,0.00,0.00,0.94
3041,0.00,0.00,0.00,62.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3056,-0.35,0.00,0.00,0.00,0.00,-0.35,-0.35,0.00,7.67,0.00,-14.10,0.00,-0.10
3057,-0.35,0.00,-0.35,0.00,0.00,-0.35,25.88,0.00,0.00,0.00,0.00,0.00,0.00
3716,0.00,0.00,0.00,0.00,11.74,0.42,-14.27,0.00,0.00,3.43,0.00,0.00,0.00
3717,-65.23,9.65,-0.11,10.25,8.80,2.79,-23.48,23.29,0.61,-0.74,-0.05,102.50,7.47
3718,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.03,0.00,0.00,0.00
3719,0.00,0.00,0.00,58.38,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00
3732,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,48.03,0.00
3733,-30.69,2.57,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,81.40,0.00
3748,0.00,0.00,0.00,0.00,3.82,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3749,-11.09,0.00,0.00,0.00,0.00,0.00,-12.18,0.00,-0.35,0.00,1.41,90.04,-0.10
3764,0.00,0.00,0.00,0.00,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3765,0.00,0.00,0.00,0.00,31.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
