StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5232,-0.05,0.00,-0.05,0.00,-3.77,-0.55,0.00,0.00,0.00,0.00,36.40,0.00,-0.55,0.00,0.00
5233,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.10,0.00,0.00,0.00,0.00
5236,2.56,-0.05,-0.05,0.00,-3.81,-0.55,0.00,0.00,0.00,0.00,-0.55,-0.55,0.00,0.00,0.00
5237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,1.17,-0.55,0.00,0.00,0.00
5240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00
5241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00
5245,0.00,0.00,0.00,0.00,0.00,-0.55,-0.05,0.00,0.00,0.00,0.36,0.00,0.00,0.00,-0.30
5392,-0.05,-0.05,-0.05,0.00,-3.44,0.00,0.00,-0.05,36.85,-0.05,0.00,0.00,-0.55,0.00,0.00
5393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5394,0.00,0.00,0.00,0.00,-4.14,0.00,0.00,19.10,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5395,-0.05,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,-0.05,-0.55,0.00,0.00,52.43,-0.30
5396,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5397,0.00,0.00,0.86,68.96,0.00,-0.55,0.00,-0.05,0.00,0.00,0.36,0.00,0.00,0.00,-0.30
5398,0.00,0.00,0.00,27.24,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5399,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5400,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.55,0.00,19.10,-0.30
5401,0.00,0.00,0.00,-0.05,0.00,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,0.00,19.10,0.00
5402,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00
5410,0.00,5.17,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.04,0.00,-0.30
5414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.09,0.00
5418,0.00,10.05,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5424,-0.05,0.00,-0.05,0.00,-4.14,-0.55,0.00,-0.05,0.00,-0.05,0.00,-0.55,0.00,34.56,-0.30
5425,0.00,0.00,-0.05,0.00,0.00,0.00,-0.05,-0.05,-0.05,0.00,0.00,0.00,-0.55,0.00,-0.30
5432,0.00,52.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5446,0.00,-0.05,0.00,27.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
5450,0.00,10.05,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,0.00,0.00,-0.55,0.00,0.00,-0.30
5457,0.00,-0.05,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,19.10,0.00
5460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,-0.55,-0.55,0.00,-0.30
5461,0.00,-0.05,0.00,34.56,0.00,-0.55,-0.05,-0.05,-0.05,0.00,-0.55,0.00,0.00,0.00,0.00
5464,0.00,0.00,-0.05,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00
5465,-0.05,10.05,0.00,0.00,0.00,-0.55,-0.05,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00
5473,-0.05,0.00,0.00,0.00,-0.55,0.00,-2.09,0.00,0.00,0.00,-1.75,0.00,0.00,44.31,-0.30
5477,0.00,-0.05,0.00,0.00,0.00,0.00,-1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5481,0.00,25.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5488,-0.05,0.00,-0.05,-0.05,-4.14,0.00,-0.09,0.00,3.13,-0.05,0.00,-0.55,0.00,0.00,-0.44
5489,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5492,0.00,0.00,-0.05,0.00,-4.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
