StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5836,0,0,0,1,5,0,1,2,0,0,292,0,0,0,0
5837,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
5856,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
5857,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5860,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
5861,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
5864,0,0,1,1,1,0,1,1,0,0,3,0,0,0,0
5865,1,1,0,0,0,0,0,3,0,1,1,3,0,260,2
5868,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
5869,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0
6016,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6017,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0
6018,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
6019,0,0,1,1,0,5,1,0,0,0,0,0,0,12,0
6020,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
6021,0,2,2,0,1,301,1,0,2,2,8,1,2,2,0
6022,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6023,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
6024,0,0,1,0,0,0,0,0,0,0,0,0,0,77,0
6025,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6026,0,0,0,1,0,0,0,0,0,1,75,0,0,0,1
6027,1,0,1,0,1,0,1,0,1,0,0,5,0,0,0
6048,0,0,1,0,1,1,0,0,0,0,0,70,0,2,0
6049,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0
6052,0,1,0,0,0,0,1,1,0,0,0,1,0,97,0
6053,0,0,0,0,0,0,1,1,0,0,0,141,0,1,0
6056,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
6057,1,0,0,0,0,0,0,1,4,0,0,0,1,0,1
6080,0,0,0,0,0,0,0,0,0,0,57,0,0,1,0
6081,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
6084,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0
6085,0,0,0,0,0,0,0,0,0,0,1,0,0,77,0
6088,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,0,0,0,0,0,0,0,1,0,0,0,1,0,95,0
6113,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1
6116,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
6117,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0
6120,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
6121,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
7436,0,0,1,0,0,0,0,0,0,0,1,0,1,17,0
7437,0,5,0,0,0,4,0,0,0,1,0,0,0,0,0
7438,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0
7439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7468,0,0,1,0,0,0,0,0,1,49,0,0,0,0,0
7469,0,0,0,0,0,0,0,1,0,40,0,0,0,5,0
7500,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7501,0,22,0,0,0,0,0,1,0,0,1,0,0,5,1
7532,0,0,0,1,2,0,0,65,1,0,1,1,2,7,0
7533,1,11,0,0,0,0,1,0,0,0,0,0,2,14,0
