StateIndex,SetMasterSwitch=OFF,SetMasterSwitch=ON,SetPlugZ1=OFF,SetPlugZ1=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5194,0.00,0.00,0.00,0.00,0.00,54.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5198,0.00,-0.59,28.62,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,-0.59,0.00,0.00,0.00,0.00
5200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.85,0.00
5201,0.00,0.69,16.81,2.85,-6.93,0.00,-0.59,-0.59,-0.59,0.69,0.00,0.00,-0.59,201.00,-0.59
5204,0.00,-0.59,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,0.00,-0.59,0.00,0.00,54.47,0.00
5205,0.00,-0.59,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,69.12,0.00
5209,0.00,-0.59,0.00,0.00,0.00,0.00,-0.48,-0.59,-0.59,-0.59,0.00,0.00,0.00,114.48,-0.59
5213,0.00,0.00,0.00,-0.59,0.00,-1.09,-0.59,0.00,0.00,54.47,0.00,0.00,0.00,20.10,0.00
5217,0.00,-0.59,0.00,-0.59,0.00,33.01,-3.49,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00
5221,0.00,0.00,0.00,1.14,0.00,-1.09,0.00,0.00,-0.59,0.00,0.00,-0.59,-0.59,0.00,0.00
5225,0.00,0.00,0.00,-0.59,-1.09,0.00,0.00,-0.59,0.00,-0.59,-4.18,-1.12,0.00,81.13,-0.59
5229,-0.59,0.00,0.00,-0.59,-1.09,-1.09,-4.18,-0.59,0.00,0.00,-3.82,0.00,0.00,56.80,0.00
5232,-0.59,0.00,-0.59,0.00,-7.54,-1.09,0.00,0.00,0.00,0.00,76.40,0.00,-0.59,0.00,0.00
5233,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.63,0.00,0.00,0.00,0.00
5236,4.91,-0.59,-0.59,0.00,-7.30,-1.09,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,0.00,0.00
5237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,2.85,-0.59,0.00,0.00,0.00
5240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.19,0.00
5241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.31,0.00
5245,0.00,0.00,0.00,0.00,0.00,-1.09,-0.59,0.00,0.00,0.00,1.22,0.00,0.00,0.00,-0.59
5392,-0.59,-0.59,-0.59,0.00,-6.88,0.00,0.00,-0.59,71.66,-0.59,0.00,0.00,-0.59,0.00,0.00
5393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,0.00,0.00,0.00,0.00,0.00
5394,0.00,0.00,0.00,0.00,-8.27,0.00,0.00,38.19,0.00,0.00,0.00,0.00,-0.59,0.00,0.00
5395,-0.59,0.00,0.00,0.00,0.00,-1.09,0.00,0.00,0.00,-0.59,-0.59,0.00,0.00,104.86,-0.59
5396,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5397,0.00,0.00,1.22,137.92,0.00,-1.09,0.00,-0.59,0.00,0.00,1.22,0.00,0.00,0.00,-0.59
5398,0.00,0.00,0.00,54.47,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5399,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5400,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,38.19,-0.59
5401,0.00,0.00,0.00,-0.59,0.00,0.00,-0.59,0.00,0.00,0.00,-0.59,0.00,0.00,38.19,0.00
5402,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,0.00,0.00,0.00
5410,0.00,9.38,0.00,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.12,0.00,-0.59
5414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.18,0.00
5418,0.00,20.10,0.00,-0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5424,-0.59,0.00,-0.59,0.00,-8.27,-1.09,0.00,-0.59,0.00,-0.59,0.00,-0.59,0.00,69.12,-0.59
5425,0.00,0.00,-0.59,0.00,0.00,0.00,-0.59,-0.59,-0.59,0.00,0.00,0.00,-0.59,0.00,-0.59
5432,0.00,104.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5446,0.00,-0.59,0.00,54.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59
5450,0.00,20.10,0.00,0.00,-1.09,0.00,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00
5456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.89,0.00,0.00,-0.59,0.00,0.00,-0.59
5457,0.00,-0.59,-0.59,0.00,0.00,-1.09,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,38.19,0.00
5460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.59,0.00,0.00,-0.59,-0.59,0.00,-0.59
5461,0.00,-0.59,0.00,69.12,0.00,-1.09,-0.59,-0.59,-0.59,0.00,-0.59,0.00,0.00,0.00,0.00
5464,0.00,0.00,-0.59,0.00,0.00,-1.09,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00
5465,-0.59,20.10,0.00,0.00,0.00,-1.09,-0.59,0.00,-0.59,-0.59,0.00,0.00,0.00,0.00,0.00
5473,-0.59,0.00,0.00,0.00,-1.09,0.00,-4.18,0.00,0.00,0.00,-3.49,0.00,0.00,43.42,-0.59
5477,0.00,-0.59,0.00,0.00,0.00,0.00,-3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5481,0.00,91.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00
5488,-0.59,0.00,-0.59,-0.59,-8.27,0.00,-1.12,0.00,5.43,-0.59,0.00,-0.59,0.00,0.00,-0.94
5489,0.00,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5492,0.00,0.00,-0.59,0.00,-8.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.59
5493,0.00,0.00,0.00,38.19,0.00,-1.09,0.00,-0.59,0.00,-0.59,0.00,0.00,0.00,0.00,0.00
5496,0.00,0.00,0.00,0.00,0.00,0.00,15.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5497,-0.59,0.00,0.00,0.00,9.51,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,0.00,0.00
5761,0.00,0.00,0.30,-0.35,-0.13,0.00,0.00,-0.35,0.00,0.00,8.97,0.00,0.00,0.00,0.00
5762,0.00,3.24,0.00,-0.35,8.87,102.50,6.77,19.47,0.00,-0.66,0.00,0.00,2.81,13.71,0.00
5763,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.27,0.00,0.00
5764,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.00,0.00
5765,-0.35,0.37,-0.35,0.00,0.00,0.00,-0.26,0.58,-0.15,0.00,0.00,10.74,0.00,0.00,-0.10
5766,50.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5767,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00
5768,-0.35,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,-0.35,0.00,4.60,0.00,0.00,0.00,0.00
5769,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.38,0.00,0.00,0.00
5770,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.46,0.00
5771,-0.35,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,53.47,0.00,0.00,0.00
5772,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,7.98,0.00,0.00,0.00
5773,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,0.00
5774,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.77,0.00
5775,3.35,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5792,0.00,0.00,-0.35,-0.35,0.00,10.25,-0.35,-0.35,0.00,0.00,0.00,0.16,-14.26,0.00,-0.10
5793,0.00,0.00,-0.35,-0.35,-0.35,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00
5796,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,0.00
5797,-0.35,-0.89,-0.35,-0.35,0.00,0.00,0.00,0.00,-0.16,0.00,10.71,0.00,-12.18,0.63,0.00
5800,-0.35,13.66,-0.35,0.00,-0.35,0.00,0.00,0.00,0.00,-0.35,0.00,0.00,-14.27,0.00,0.00
5801,-0.35,0.00,0.00,0.00,0.00,73.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.65,0.00
5804,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.33,0.00,0.00,0.00,0.00,0.00
5805,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,70.33,0.00,0.00,0.00,0.00,0.00
5824,0.00,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.81,0.00
5825,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.00,0.00,0.00,0.00,5.74,0.00
5828,-0.38,0.00,0.00,-0.60,-0.26,0.00,0.00,0.00,0.00,0.00,0.41,0.00,-14.27,10.21,-0.08
5829,0.00,0.00,0.00,0.00,0.00,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5832,-0.35,1.81,0.00,0.00,0.00,0.00,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5833,-0.35,0.00,0.00,-0.35,-0.35,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,8.35,0.00
5836,0.00,0.00,0.00,-0.35,-1.29,0.00,-0.35,-0.60,0.00,0.00,14.68,0.00,0.00,0.00,0.00
5837,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00
5856,-0.35,-0.33,-0.35,-0.35,-0.35,0.00,-0.35,-0.35,0.00,-0.10,0.00,0.00,0.00,0.00,-0.10
5857,0.00,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5860,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
5861,-0.35,0.00,-0.35,0.00,0.00,10.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10
5864,0.00,0.00,-0.35,-0.35,-0.35,0.00,-0.35,-0.35,0.00,0.00,0.54,0.00,0.00,0.00,0.00
5865,-0.08,0.48,0.00,0.00,0.00,0.00,0.00,1.66,0.00,1.41,0.16,1.14,0.00,14.36,0.99
5868,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.00,0.00,0.00,-0.10
5869,0.00,0.00,0.00,-0.35,0.00,0.00,22.23,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00
6016,0.00,0.00,0.00,0.00,0.00,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6017,0.00,0.00,0.00,-0.33,0.00,0.00,0.00,-0.35,-0.09,0.00,0.00,0.62,0.00,0.00,0.00
6018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.80,0.00,0.00,0.00,-14.27,0.00,0.00
6019,0.00,0.00,-0.35,-0.35,0.00,41.97,-0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00
6020,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,-0.35,-0.35,0.00,0.00,0.00,0.00,0.00,0.00
6021,0.00,15.45,9.40,0.00,8.88,102.50,-0.32,0.00,-0.48,6.87,1.20,1.14,-25.17,0.37,0.00
6022,0.00,0.00,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6023,-0.35,0.00,0.00,0.00,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,-14.07,0.00,0.00
6024,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.35,0.00
6025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00
6026,0.00,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,-0.35,8.21,0.00,0.00,0.00,-0.10
6027,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,0.00,41.97,0.00,0.00,0.00
6048,0.00,0.00,0.26,0.00,-0.21,10.25,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.61,0.00
6049,0.00,0.00,-0.35,0.00,0.00,0.00,0.00,4.59,-0.35,0.00,0.00,0.00,0.00,0.00,0.00
6052,0.00,0.43,0.00,0.00,0.00,0.00,-0.19,-0.25,0.00,0.00,0.00,0.99,0.00,9.65,0.00
6053,0.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.35,0.00,0.00,0.00,11.74,0.00,0.25,0.00
6056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,0.00,1.76,0.00,0.00,0.00,0.00
