StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
3009,0.00,0.00,0.00,27.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5136,12.19,90.00,-1.04,-2.23,6.06,-1.08,2.75,-0.15,6.32,-0.12,1.24,-1.72,-0.33,-0.16,7.30
5137,0.00,0.00,0.00,0.36,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5139,0.00,0.00,0.00,0.00,-4.14,0.00,0.00,0.00,0.00,0.00,-0.55,19.10,0.00,0.00,0.00
5140,0.00,-0.05,-0.59,-0.55,-4.14,-0.55,-0.05,0.86,-0.05,0.00,-0.55,-0.55,-0.55,0.00,-0.30
5141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,27.24,-0.30
5142,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00,0.00,0.00
5143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5144,11.85,6.16,0.00,-0.13,-4.14,0.00,7.14,-0.06,0.00,100.50,0.00,-0.55,0.00,4.57,-0.30
5145,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,12.43,0.00
5147,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,27.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.55,0.00,19.10,0.00
5150,4.57,-0.05,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5151,0.00,0.00,0.00,0.00,-4.14,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5154,-0.05,90.00,0.00,-0.55,0.00,10.05,-0.05,0.00,0.00,1.60,-3.44,-0.55,0.00,0.00,6.70
5158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.10,0.00,0.00,-4.14,0.00,0.00,0.00,0.00
5162,0.00,8.96,0.00,0.36,8.40,19.10,7.14,0.00,0.00,100.50,0.00,8.33,0.00,0.00,0.00
5166,0.00,0.00,0.00,0.00,0.00,47.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5168,0.00,7.95,-0.55,0.00,-4.14,0.00,0.00,-0.05,0.00,-0.05,0.00,-0.55,-0.55,0.00,-0.30
5169,0.00,0.00,0.00,8.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5172,-0.05,-0.05,0.00,0.00,0.00,0.00,-0.05,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
5173,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,-0.05,0.00,-0.55,-0.55,0.00,72.12,0.00
5176,0.00,0.00,-0.55,-0.55,-4.14,-0.55,-0.05,-0.05,0.00,74.95,0.00,-0.55,0.00,0.00,0.00
5177,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.28,-0.55,0.00,0.00,0.00
5180,0.00,0.00,-0.55,-0.55,-4.14,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.24,0.00
5181,-0.05,0.00,0.00,0.00,-1.75,-0.55,0.00,-0.05,-0.05,19.10,0.00,0.00,0.00,0.00,0.00
5186,-0.05,0.00,0.00,5.49,-0.55,0.00,0.00,0.00,-0.05,0.00,-0.55,0.00,0.00,-0.55,-0.30
5190,0.00,0.00,0.00,0.00,0.00,41.16,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.24,0.00,0.00,-0.55,0.00,0.00
5198,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.56,0.00,0.00,0.00
5200,-0.05,-0.05,-0.55,-0.55,-4.14,-0.55,8.05,-0.05,-0.05,-0.05,0.00,0.00,-0.55,0.00,-0.30
5201,0.00,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5204,0.00,0.00,0.00,0.00,-4.14,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,27.24,0.00
5205,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00
5208,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,-0.05,0.00,0.00,7.45,0.00,-0.55,0.00
5209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00,0.00,0.00
5212,0.00,0.00,-0.38,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.55,0.00,0.00
5213,0.00,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,57.24,0.00
5217,-0.09,-0.05,-0.55,-1.04,3.30,-0.57,-1.60,1.51,-0.09,80.55,-2.09,-0.55,-0.55,-0.13,6.67
5221,0.00,1.66,-0.55,-1.04,-0.55,-0.55,0.00,-0.05,0.00,0.00,0.39,0.00,-0.55,0.00,0.00
5225,-0.05,-0.05,-0.55,-0.55,-0.55,0.00,-2.09,-0.05,-0.05,46.94,-2.09,-0.55,-0.55,-0.55,-0.30
