StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5860,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
5861,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
5868,0,0,0,74,1,0,0,0,0,0,0,0,0,0,0
5869,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
6021,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
6022,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
6023,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0
6052,1,0,0,30,1,0,0,1,1,0,0,0,0,0,0
6084,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
6085,1,30,0,0,0,0,2,0,0,0,0,0,0,2,0
6116,0,0,0,0,0,14,0,0,1,0,0,18,0,0,0
6117,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0
7432,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7433,0,0,0,0,0,22,0,3,0,0,0,0,0,1,0
7434,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0
7435,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
7436,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
7437,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1
7438,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
7439,0,106,0,0,1,0,0,0,0,0,0,0,1,0,0
7464,1,1,1,0,0,0,0,0,0,84,1,0,0,0,0
7468,0,0,1,0,0,0,2,0,0,0,1,0,0,4,0
7469,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1
7496,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
7497,0,0,0,0,0,0,18,0,0,0,0,0,1,1,2
7500,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0
7501,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0
7528,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
7529,3,35,1,0,0,324,0,0,1,1,1,2,0,0,5
7532,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
7533,0,0,22,0,0,0,4,0,0,0,0,0,0,0,1
7560,0,139,0,0,0,0,0,0,1,2,1,0,0,1,0
7561,2,1,0,2,2,0,2,312,0,0,1,0,2,1,1
7562,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
7563,0,0,1,0,0,0,18,0,0,0,0,0,0,1,0
7592,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7593,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0
7624,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
7625,0,0,1,309,0,0,0,2,1,0,1,2,2,4,2
7656,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
7657,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
